order,type,text,delay,underline
1,linebreak,,,
2,line,"MISSION BRIEFING: ""THE JOB""",,TRUE
3,linebreak,,,
4,line,"LOCATION: Samsa VI, a primordial world designated for terraforming.",,
5,linebreak,,,
6,line,"BACKGROUND:",,
7,line,"Ten years ago, The Company detected signs of ancient, alien biochemistry on Samsa VI. A year ago, Greta Base was established to initiate terraforming operations. The skeleton crew of researchers, engineers, and corporate marines has been out of contact for 180 days.",,
8,linebreak,,,
9,linebreak,,,
10,line,"PRIMARY OBJECTIVES:",,
11,line,"1. Make landfall and rendezvous with the colony's ranking officer, 2ndLt Kaplan.",,
12,line,"2. Assist the surviving colonists in restoring full operational capacity to Greta Base.",,
13,line,"3. Re-establish satellite communications and bring the primary terraforming station back online.",,
14,linebreak,,,
15,line,"SECONDARY OBJECTIVES (Asset Retrieval):",,
16,line,"In the event of catastrophic failure, your priority shifts.",,
17,linebreak,,,
18,line,"You are to evacuate the mission specialist, Dr. Edem, and retrieve the logic core of the colony's synthetic science officer, Hinton.",,
19,linebreak,,,
20,line,"NOTE: The Company has made it clear that the lives of other colonists are a secondary concern to asset retrieval.",,
21,linebreak,,,
22,line,"SUPPORT & COMPENSATION:",,
23,line,"- Two (2) months' standard salary, plus one (1) month of hazard pay upon completion.",,
24,line,"- Round-trip transport to the Samsa VI system.",,
25,line,"- Standard Issue Field Kit (per crewmember): 1x Hazard Suit, 1x SMG, 1x First Aid Kit, 1x Stimpak.",,
26,linebreak,,,

