order,type,text,delay,underline
1,line,"INCOMING TRANSMISSION // EYES ONLY // CONTRACT #7GA-44",,TRUE
2,linebreak,,,
3,line,"Welcome Crewmember,",,
4,linebreak,,,
5,line,"Your next contract has been finalized. You've been hired by The Company for a priority mission in the remote Samsa VI system.",,
6,linebreak,,,
7,linebreak,,,
8,line,"Transportation has been arranged aboard the Executive Transport vessel, <em>The Metamorphosis</em>. Your destination: Greta Base, a terraforming colony that went dark six months ago.",,
9,linebreak,,,
10,line,"Your job is to find out why... and fix it.",,
11,linebreak,,,
12,line,"Menu (select 1-4):",,
13,linebreak,,,

20,linebreak,,,
21,line,"1. Mission Briefing",,
22,line,"2. Session Details",,
23,line,"3. Download the Crew Operations and Survival Handbook",,
24,line,"4. Log Off",,
25,linebreak,,,

30,linebreak,,,
31,line,"MISSION BRIEFING: ""THE JOB""",,TRUE
32,linebreak,,,
33,line,"LOCATION: Samsa VI, a primordial world designated for terraforming.",,
34,linebreak,,,
35,line,"BACKGROUND:",,
36,line,"Ten years ago, The Company detected signs of ancient, alien biochemistry on Samsa VI. A year ago, Greta Base was established to initiate terraforming operations. The skeleton crew of researchers, engineers, and corporate marines has been out of contact for 180 days.",,
37,linebreak,,,
38,linebreak,,,
39,line,"PRIMARY OBJECTIVES:",,
40,line,"1. Make landfall and rendezvous with the colony's ranking officer, 2ndLt Kaplan.",,
41,line,"2. Assist the surviving colonists in restoring full operational capacity to Greta Base.",,
42,line,"3. Re-establish satellite communications and bring the primary terraforming station back online.",,
43,linebreak,,,
44,line,"SECONDARY OBJECTIVES (Asset Retrieval):",,
45,line,"In the event of catastrophic failure, your priority shifts.",,
46,linebreak,,,
47,line,"You are to evacuate the mission specialist, Dr. Edem, and retrieve the logic core of the colony's synthetic science officer, Hinton.",,
48,linebreak,,,
49,line,"NOTE: The Company has made it clear that the lives of other colonists are a secondary concern to asset retrieval.",,
50,linebreak,,,
51,line,"SUPPORT & COMPENSATION:",,
52,line,"- Two (2) months' standard salary, plus one (1) month of hazard pay upon completion.",,
53,line,"- Round-trip transport to the Samsa VI system.",,
54,line,"- Standard Issue Field Kit (per crewmember): 1x Hazard Suit, 1x SMG, 1x First Aid Kit, 1x Stimpak.",,
55,linebreak,,,

60,linebreak,,,
61,line,"SESSION DETAILS",,TRUE
62,linebreak,,,
63,line,"Session Date: Sunday October 19, 2025",,
64,line,"Session Time: 1100 hours",,
65,line,"Location: 7 Ash Ln, Dudley, MA 01571",,
66,line,"Remote Operator Interface: <a href="https://us02web.zoom.us/j/89616716936?pwd=fpGC5kxai7D9ZamJHzhC9apsCxPzgF.1" target="_blank">Zoom Link</a>",,
67,linebreak,,,

70,linebreak,,,
71,line,"Logging off... Secure connection terminated.",,
72,linebreak,,,
73,line,"Good luck.",,TRUE
74,delay,,2,,
